VER : 2,,././simple_cap_withGP_955um_verticalslice.csv
emvu,16.56, Exported Data from:,simple_cap_withGP
Frequency:,4.9e+08
1165.50000, -7.2445e-4 -8.33526e-4j
1164.50000, -7.2445e-4 -8.33526e-4j
1163.50000, -7.2445e-4 -8.33526e-4j
1162.50000, -7.2445e-4 -8.33526e-4j
1161.50000, -7.2445e-4 -8.33526e-4j
1160.50000, -7.2445e-4 -8.33526e-4j
1159.50000, -7.2445e-4 -8.33526e-4j
1158.50000, -7.2445e-4 -8.33526e-4j
1157.50000, -7.2445e-4 -8.33526e-4j
1156.50000, -7.2445e-4 -8.33526e-4j
1155.50000, -7.2445e-4 -8.33526e-4j
1154.50000, -7.2445e-4 -8.33526e-4j
1153.50000, -7.2445e-4 -8.33526e-4j
1152.50000, -7.2445e-4 -8.33526e-4j
1151.50000, -7.2445e-4 -8.33526e-4j
1150.50000, -7.2445e-4 -8.33526e-4j
1149.50000, -7.2445e-4 -8.33526e-4j
1148.50000, -7.2445e-4 -8.33526e-4j
1147.50000, -7.2445e-4 -8.33526e-4j
1146.50000, -7.2445e-4 -8.33526e-4j
1145.50000, -7.2445e-4 -8.33526e-4j
1144.50000, -7.2445e-4 -8.33526e-4j
1143.50000, -7.2445e-4 -8.33526e-4j
1142.50000, -7.2445e-4 -8.33526e-4j
1141.50000, -7.2445e-4 -8.33526e-4j
1140.50000, -7.2445e-4 -8.33526e-4j
1139.50000, -7.2445e-4 -8.33526e-4j
1138.50000, -7.2445e-4 -8.33526e-4j
1137.50000, -7.2445e-4 -8.33526e-4j
1136.50000, -7.2445e-4 -8.33526e-4j
1135.50000, -7.2445e-4 -8.33526e-4j
1134.50000, -7.2445e-4 -8.33526e-4j
1133.50000, -7.2445e-4 -8.33526e-4j
1132.50000, -7.2445e-4 -8.33526e-4j
1131.50000, -7.2445e-4 -8.33526e-4j
1130.50000, -7.2445e-4 -8.33526e-4j
1129.50000, -7.2445e-4 -8.33526e-4j
1128.50000, -7.2445e-4 -8.33526e-4j
1127.50000, -7.2445e-4 -8.33526e-4j
1126.50000, -7.2445e-4 -8.33526e-4j
1125.50000, -7.2445e-4 -8.33526e-4j
1124.50000, -7.2445e-4 -8.33526e-4j
1123.50000, -7.2445e-4 -8.33526e-4j
1122.50000, -7.2445e-4 -8.33526e-4j
1121.50000, -7.2445e-4 -8.33526e-4j
1120.50000, -7.2445e-4 -8.33526e-4j
1119.50000, -7.2445e-4 -8.33526e-4j
1118.50000, -7.2445e-4 -8.33526e-4j
1117.50000, -7.2445e-4 -8.33526e-4j
1116.50000, -7.2445e-4 -8.33526e-4j
1115.50000, -7.2445e-4 -8.33526e-4j
1114.50000, -7.2445e-4 -8.33526e-4j
1113.50000, -7.2445e-4 -8.33526e-4j
1112.50000, -7.2445e-4 -8.33526e-4j
1111.50000, -7.2445e-4 -8.33526e-4j
1110.50000, -7.2445e-4 -8.33526e-4j
1109.50000, -7.2445e-4 -8.33526e-4j
1108.50000, -7.2445e-4 -8.33526e-4j
1107.50000, -7.2445e-4 -8.33526e-4j
1106.50000, -7.2445e-4 -8.33526e-4j
1105.50000, -7.2445e-4 -8.33526e-4j
1104.50000, -7.2445e-4 -8.33526e-4j
1103.50000, -7.2445e-4 -8.33526e-4j
1102.50000, -7.2445e-4 -8.33526e-4j
1101.50000, -7.2445e-4 -8.33526e-4j
1100.50000, -7.2445e-4 -8.33526e-4j
1099.50000, -8.5277e-4 -0.00111423j
1098.50000, -8.5277e-4 -0.00111423j
1097.50000, -8.5277e-4 -0.00111423j
1096.50000, -8.5277e-4 -0.00111423j
1095.50000, -8.5277e-4 -0.00111423j
1094.50000, -8.5277e-4 -0.00111423j
1093.50000, -8.5277e-4 -0.00111423j
1092.50000, -8.5277e-4 -0.00111423j
1091.50000, -8.5277e-4 -0.00111423j
1090.50000, -8.5277e-4 -0.00111423j
1089.50000, -8.5277e-4 -0.00111423j
1088.50000, -8.5277e-4 -0.00111423j
1087.50000, -8.5277e-4 -0.00111423j
1086.50000, -8.5277e-4 -0.00111423j
1085.50000, -8.5277e-4 -0.00111423j
1084.50000, -8.5277e-4 -0.00111423j
1083.50000, -8.5277e-4 -0.00111423j
1082.50000, -8.5277e-4 -0.00111423j
1081.50000, -8.5277e-4 -0.00111423j
1080.50000, -8.5277e-4 -0.00111423j
1079.50000, -8.5277e-4 -0.00111423j
1078.50000, -8.5277e-4 -0.00111423j
1077.50000, -8.5277e-4 -0.00111423j
1076.50000, -8.5277e-4 -0.00111423j
1075.50000, -8.5277e-4 -0.00111423j
1074.50000, -8.5277e-4 -0.00111423j
1073.50000, -8.5277e-4 -0.00111423j
1072.50000, -8.5277e-4 -0.00111423j
1071.50000, -8.5277e-4 -0.00111423j
1070.50000, -8.5277e-4 -0.00111423j
1069.50000, -8.5277e-4 -0.00111423j
1068.50000, -8.5277e-4 -0.00111423j
1067.50000, -8.5277e-4 -0.00111423j
1066.50000, -8.5277e-4 -0.00111423j
1065.50000, -8.5277e-4 -0.00111423j
1064.50000, -8.5277e-4 -0.00111423j
1063.50000, -8.5277e-4 -0.00111423j
1062.50000, -8.5277e-4 -0.00111423j
1061.50000, -8.5277e-4 -0.00111423j
1060.50000, -8.5277e-4 -0.00111423j
1059.50000, -8.5277e-4 -0.00111423j
1058.50000, -8.5277e-4 -0.00111423j
1057.50000, -8.5277e-4 -0.00111423j
1056.50000, -8.5277e-4 -0.00111423j
1055.50000, -8.5277e-4 -0.00111423j
1054.50000, -8.5277e-4 -0.00111423j
1053.50000, -8.5277e-4 -0.00111423j
1052.50000, -8.5277e-4 -0.00111423j
1051.50000, -8.5277e-4 -0.00111423j
1050.50000, -8.5277e-4 -0.00111423j
1049.50000, -8.5277e-4 -0.00111423j
1048.50000, -8.5277e-4 -0.00111423j
1047.50000, -8.5277e-4 -0.00111423j
1046.50000, -8.5277e-4 -0.00111423j
1045.50000, -8.5277e-4 -0.00111423j
1044.50000, -8.5277e-4 -0.00111423j
1043.50000, -8.5277e-4 -0.00111423j
1042.50000, -8.5277e-4 -0.00111423j
1041.50000, -8.5277e-4 -0.00111423j
1040.50000, -8.5277e-4 -0.00111423j
1039.50000, -8.5277e-4 -0.00111423j
1038.50000, -8.5277e-4 -0.00111423j
1037.50000, -8.5277e-4 -0.00111423j
1036.50000, -8.5277e-4 -0.00111423j
1035.50000, -8.5277e-4 -0.00111423j
1034.50000, -8.5277e-4 -0.00111423j
1033.50000, -8.5277e-4 -0.00111423j
1032.50000, -8.5277e-4 -0.00111423j
1031.50000, -8.5277e-4 -0.00111423j
1030.50000, -8.5277e-4 -0.00111423j
1029.50000, -8.5277e-4 -0.00111423j
1028.50000, -8.5277e-4 -0.00111423j
1027.50000, -8.5277e-4 -0.00111423j
1026.50000, -8.5277e-4 -0.00111423j
1025.50000, -8.5277e-4 -0.00111423j
1024.50000, -8.5277e-4 -0.00111423j
1023.50000, -8.5277e-4 -0.00111423j
1022.50000, -8.5277e-4 -0.00111423j
1021.50000, -8.5277e-4 -0.00111423j
1020.50000, -8.5277e-4 -0.00111423j
1019.50000, -8.5277e-4 -0.00111423j
1018.50000, -8.5277e-4 -0.00111423j
1017.50000, -8.5277e-4 -0.00111423j
1016.50000, -8.5277e-4 -0.00111423j
1015.50000, -8.5277e-4 -0.00111423j
1014.50000, -8.5277e-4 -0.00111423j
1013.50000, -8.5277e-4 -0.00111423j
1012.50000, -8.5277e-4 -0.00111423j
1011.50000, -8.5277e-4 -0.00111423j
1010.50000, -8.5277e-4 -0.00111423j
1009.50000, -8.5277e-4 -0.00111423j
1008.50000, -8.5277e-4 -0.00111423j
1007.50000, -8.5277e-4 -0.00111423j
1006.50000, -8.5277e-4 -0.00111423j
1005.50000, -8.5277e-4 -0.00111423j
1004.50000, -8.5277e-4 -0.00111423j
1003.50000, -8.5277e-4 -0.00111423j
1002.50000, -8.5277e-4 -0.00111423j
1001.50000, -8.5277e-4 -0.00111423j
1000.50000, -8.5277e-4 -0.00111423j
999.500000, -2.9907e-3 -0.00548974j
998.500000, -2.9907e-3 -0.00548974j
997.500000, -2.9907e-3 -0.00548974j
996.500000, -2.9907e-3 -0.00548974j
995.500000, -2.9907e-3 -0.00548974j
994.500000, -2.9907e-3 -0.00548974j
993.500000, -2.9907e-3 -0.00548974j
992.500000, -2.9907e-3 -0.00548974j
991.500000, -2.9907e-3 -0.00548974j
990.500000, -2.9907e-3 -0.00548974j
989.500000, -2.9907e-3 -0.00548974j
988.500000, -2.9907e-3 -0.00548974j
987.500000, -2.9907e-3 -0.00548974j
986.500000, -2.9907e-3 -0.00548974j
985.500000, -2.9907e-3 -0.00548974j
984.500000, -2.9907e-3 -0.00548974j
983.500000, -2.9907e-3 -0.00548974j
982.500000, -2.9907e-3 -0.00548974j
981.500000, -2.9907e-3 -0.00548974j
980.500000, -2.9907e-3 -0.00548974j
979.500000, -2.9907e-3 -0.00548974j
978.500000, -2.9907e-3 -0.00548974j
977.500000, -2.9907e-3 -0.00548974j
976.500000, -2.9907e-3 -0.00548974j
975.500000, -2.9907e-3 -0.00548974j
974.500000, -2.9907e-3 -0.00548974j
973.500000, -2.9907e-3 -0.00548974j
972.500000, -2.9907e-3 -0.00548974j
971.500000, -2.9907e-3 -0.00548974j
970.500000, -2.9907e-3 -0.00548974j
969.500000, -2.9907e-3 -0.00548974j
968.500000, -2.9907e-3 -0.00548974j
967.500000, -2.9907e-3 -0.00548974j
966.500000, -2.9907e-3 -0.00548974j
965.500000, -2.9907e-3 -0.00548974j
964.500000, -2.9907e-3 -0.00548974j
963.500000, -2.9907e-3 -0.00548974j
962.500000, -2.9907e-3 -0.00548974j
961.500000, -2.9907e-3 -0.00548974j
960.500000, -2.9907e-3 -0.00548974j
959.500000, -2.9907e-3 -0.00548974j
958.500000, -2.9907e-3 -0.00548974j
957.500000, -2.9907e-3 -0.00548974j
956.500000, -2.9907e-3 -0.00548974j
955.500000, -2.9907e-3 -0.00548974j
954.500000, -2.9907e-3 -0.00548974j
953.500000, -2.9907e-3 -0.00548974j
952.500000, -2.9907e-3 -0.00548974j
951.500000, -2.9907e-3 -0.00548974j
950.500000, -2.9907e-3 -0.00548974j
949.500000, -2.9907e-3 -0.00548974j
948.500000, -2.9907e-3 -0.00548974j
947.500000, -2.9907e-3 -0.00548974j
946.500000, -2.9907e-3 -0.00548974j
945.500000, -2.9907e-3 -0.00548974j
944.500000, -2.9907e-3 -0.00548974j
943.500000, -2.9907e-3 -0.00548974j
942.500000, -2.9907e-3 -0.00548974j
941.500000, -2.9907e-3 -0.00548974j
940.500000, -2.9907e-3 -0.00548974j
939.500000, -2.9907e-3 -0.00548974j
938.500000, -2.9907e-3 -0.00548974j
937.500000, -2.9907e-3 -0.00548974j
936.500000, -2.9907e-3 -0.00548974j
935.500000, -2.9907e-3 -0.00548974j
934.500000, -2.9907e-3 -0.00548974j
933.500000, -2.9907e-3 -0.00548974j
932.500000, -2.9907e-3 -0.00548974j
931.500000, -2.9907e-3 -0.00548974j
930.500000, -2.9907e-3 -0.00548974j
929.500000, -2.9907e-3 -0.00548974j
928.500000, -2.9907e-3 -0.00548974j
927.500000, -2.9907e-3 -0.00548974j
926.500000, -2.9907e-3 -0.00548974j
925.500000, -2.9907e-3 -0.00548974j
924.500000, -2.9907e-3 -0.00548974j
923.500000, -2.9907e-3 -0.00548974j
922.500000, -2.9907e-3 -0.00548974j
921.500000, -2.9907e-3 -0.00548974j
920.500000, -2.9907e-3 -0.00548974j
919.500000, -2.9907e-3 -0.00548974j
918.500000, -2.9907e-3 -0.00548974j
917.500000, -2.9907e-3 -0.00548974j
916.500000, -2.9907e-3 -0.00548974j
915.500000, -2.9907e-3 -0.00548974j
914.500000, -2.9907e-3 -0.00548974j
913.500000, -2.9907e-3 -0.00548974j
912.500000, -2.9907e-3 -0.00548974j
911.500000, -2.9907e-3 -0.00548974j
910.500000, -2.9907e-3 -0.00548974j
909.500000, -2.9907e-3 -0.00548974j
908.500000, -2.9907e-3 -0.00548974j
907.500000, -2.9907e-3 -0.00548974j
906.500000, -2.9907e-3 -0.00548974j
905.500000, -2.9907e-3 -0.00548974j
904.500000, -2.9907e-3 -0.00548974j
903.500000, -2.9907e-3 -0.00548974j
902.500000, -2.9907e-3 -0.00548974j
901.500000, -2.9907e-3 -0.00548974j
900.500000, -2.9907e-3 -0.00548974j
899.500000, -0.0764811 -0.17534406j
898.500000, -0.0764811 -0.17534406j
897.500000, -0.0764811 -0.17534406j
896.500000, -0.0764811 -0.17534406j
895.500000, -0.0764811 -0.17534406j
894.500000, -0.0764811 -0.17534406j
893.500000, -0.0764811 -0.17534406j
892.500000, -0.0764811 -0.17534406j
891.500000, -0.0764811 -0.17534406j
890.500000, -0.0764811 -0.17534406j
889.500000, -0.0764811 -0.17534406j
888.500000, -0.0764811 -0.17534406j
887.500000, -0.0764811 -0.17534406j
886.500000, -0.0764811 -0.17534406j
885.500000, -0.0764811 -0.17534406j
884.500000, -0.0764811 -0.17534406j
883.500000, -0.0764811 -0.17534406j
882.500000, -0.0764811 -0.17534406j
881.500000, -0.0764811 -0.17534406j
880.500000, -0.0764811 -0.17534406j
879.500000, -0.0764811 -0.17534406j
878.500000, -0.0764811 -0.17534406j
877.500000, -0.0764811 -0.17534406j
876.500000, -0.0764811 -0.17534406j
875.500000, -0.0764811 -0.17534406j
874.500000, -0.0764811 -0.17534406j
873.500000, -0.0764811 -0.17534406j
872.500000, -0.0764811 -0.17534406j
871.500000, -0.0764811 -0.17534406j
870.500000, -0.0764811 -0.17534406j
869.500000, -0.0764811 -0.17534406j
868.500000, -0.0764811 -0.17534406j
867.500000, -0.0764811 -0.17534406j
866.500000, -0.0764811 -0.17534406j
865.500000, -0.0764811 -0.17534406j
864.500000, -0.0764811 -0.17534406j
863.500000, -0.0764811 -0.17534406j
862.500000, -0.0764811 -0.17534406j
861.500000, -0.0764811 -0.17534406j
860.500000, -0.0764811 -0.17534406j
859.500000, -0.0764811 -0.17534406j
858.500000, -0.0764811 -0.17534406j
857.500000, -0.0764811 -0.17534406j
856.500000, -0.0764811 -0.17534406j
855.500000, -0.0764811 -0.17534406j
854.500000, -0.0764811 -0.17534406j
853.500000, -0.0764811 -0.17534406j
852.500000, -0.0764811 -0.17534406j
851.500000, -0.0764811 -0.17534406j
850.500000, -0.0764811 -0.17534406j
849.500000, -0.0764811 -0.17534406j
848.500000, -0.0764811 -0.17534406j
847.500000, -0.0764811 -0.17534406j
846.500000, -0.0764811 -0.17534406j
845.500000, -0.0764811 -0.17534406j
844.500000, -0.0764811 -0.17534406j
843.500000, -0.0764811 -0.17534406j
842.500000, -0.0764811 -0.17534406j
841.500000, -0.0764811 -0.17534406j
840.500000, -0.0764811 -0.17534406j
839.500000, -0.0764811 -0.17534406j
838.500000, -0.0764811 -0.17534406j
837.500000, -0.0764811 -0.17534406j
836.500000, -0.0764811 -0.17534406j
835.500000, -0.0764811 -0.17534406j
834.500000, -0.0764811 -0.17534406j
833.500000, -0.0764811 -0.17534406j
832.500000, -0.0764811 -0.17534406j
831.500000, -0.0764811 -0.17534406j
830.500000, -0.0764811 -0.17534406j
829.500000, -0.0122327 -0.02255928j
828.500000, -0.0122327 -0.02255928j
827.500000, -0.0122327 -0.02255928j
826.500000, -0.0122327 -0.02255928j
825.500000, -0.0122327 -0.02255928j
824.500000, -0.0122327 -0.02255928j
823.500000, -0.0122327 -0.02255928j
822.500000, -0.0122327 -0.02255928j
821.500000, -0.0122327 -0.02255928j
820.500000, -0.0122327 -0.02255928j
819.500000, -0.0122327 -0.02255928j
818.500000, -0.0122327 -0.02255928j
817.500000, -0.0122327 -0.02255928j
816.500000, -0.0122327 -0.02255928j
815.500000, -0.0122327 -0.02255928j
814.500000, -0.0122327 -0.02255928j
813.500000, -0.0122327 -0.02255928j
812.500000, -0.0122327 -0.02255928j
811.500000, -0.0122327 -0.02255928j
810.500000, -0.0122327 -0.02255928j
809.500000, -0.0122327 -0.02255928j
808.500000, -0.0122327 -0.02255928j
807.500000, -0.0122327 -0.02255928j
806.500000, -0.0122327 -0.02255928j
805.500000, -0.0122327 -0.02255928j
804.500000, -0.0122327 -0.02255928j
803.500000, -0.0122327 -0.02255928j
802.500000, -0.0122327 -0.02255928j
801.500000, -0.0122327 -0.02255928j
800.500000, -0.0122327 -0.02255928j
799.500000, -0.0122327 -0.02255928j
798.500000, -0.0122327 -0.02255928j
797.500000, -0.0122327 -0.02255928j
796.500000, -0.0122327 -0.02255928j
795.500000, -0.0122327 -0.02255928j
794.500000, -0.0122327 -0.02255928j
793.500000, -0.0122327 -0.02255928j
792.500000, -0.0122327 -0.02255928j
791.500000, -0.0122327 -0.02255928j
790.500000, -0.0122327 -0.02255928j
789.500000, -0.0122327 -0.02255928j
788.500000, -0.0122327 -0.02255928j
787.500000, -0.0122327 -0.02255928j
786.500000, -0.0122327 -0.02255928j
785.500000, -0.0122327 -0.02255928j
784.500000, -0.0122327 -0.02255928j
783.500000, -0.0122327 -0.02255928j
782.500000, -0.0122327 -0.02255928j
781.500000, -0.0122327 -0.02255928j
780.500000, -0.0122327 -0.02255928j
779.500000, -0.0122327 -0.02255928j
778.500000, -0.0122327 -0.02255928j
777.500000, -0.0122327 -0.02255928j
776.500000, -0.0122327 -0.02255928j
775.500000, -0.0122327 -0.02255928j
774.500000, -0.0122327 -0.02255928j
773.500000, -0.0122327 -0.02255928j
772.500000, -0.0122327 -0.02255928j
771.500000, -0.0122327 -0.02255928j
770.500000, -0.0122327 -0.02255928j
769.500000, -0.0122327 -0.02255928j
768.500000, -0.0122327 -0.02255928j
767.500000, -0.0122327 -0.02255928j
766.500000, -0.0122327 -0.02255928j
765.500000, -0.0122327 -0.02255928j
764.500000, -0.0122327 -0.02255928j
763.500000, -0.0122327 -0.02255928j
762.500000, -0.0122327 -0.02255928j
761.500000, -0.0122327 -0.02255928j
760.500000, -0.0122327 -0.02255928j
759.500000, -0.0236297 -0.07012068j
758.500000, -0.0236297 -0.07012068j
757.500000, -0.0236297 -0.07012068j
756.500000, -0.0236297 -0.07012068j
755.500000, -0.0236297 -0.07012068j
754.500000, -0.0236297 -0.07012068j
753.500000, -0.0236297 -0.07012068j
752.500000, -0.0236297 -0.07012068j
751.500000, -0.0236297 -0.07012068j
750.500000, -0.0236297 -0.07012068j
749.500000, -0.0236297 -0.07012068j
748.500000, -0.0236297 -0.07012068j
747.500000, -0.0236297 -0.07012068j
746.500000, -0.0236297 -0.07012068j
745.500000, -0.0236297 -0.07012068j
744.500000, -0.0236297 -0.07012068j
743.500000, -0.0236297 -0.07012068j
742.500000, -0.0236297 -0.07012068j
741.500000, -0.0236297 -0.07012068j
740.500000, -0.0236297 -0.07012068j
739.500000, -0.0236297 -0.07012068j
738.500000, -0.0236297 -0.07012068j
737.500000, -0.0236297 -0.07012068j
736.500000, -0.0236297 -0.07012068j
735.500000, -0.0236297 -0.07012068j
734.500000, -0.0236297 -0.07012068j
733.500000, -0.0236297 -0.07012068j
732.500000, -0.0236297 -0.07012068j
731.500000, -0.0236297 -0.07012068j
730.500000, -0.0236297 -0.07012068j
729.500000, -0.0236297 -0.07012068j
728.500000, -0.0236297 -0.07012068j
727.500000, -0.0236297 -0.07012068j
726.500000, -0.0236297 -0.07012068j
725.500000, -0.0236297 -0.07012068j
724.500000, -0.0236297 -0.07012068j
723.500000, -0.0236297 -0.07012068j
722.500000, -0.0236297 -0.07012068j
721.500000, -0.0236297 -0.07012068j
720.500000, -0.0236297 -0.07012068j
719.500000, -0.0236297 -0.07012068j
718.500000, -0.0236297 -0.07012068j
717.500000, -0.0236297 -0.07012068j
716.500000, -0.0236297 -0.07012068j
715.500000, -0.0236297 -0.07012068j
714.500000, -0.0236297 -0.07012068j
713.500000, -0.0236297 -0.07012068j
712.500000, -0.0236297 -0.07012068j
711.500000, -0.0236297 -0.07012068j
710.500000, -0.0236297 -0.07012068j
709.500000, -0.0236297 -0.07012068j
708.500000, -0.0236297 -0.07012068j
707.500000, -0.0236297 -0.07012068j
706.500000, -0.0236297 -0.07012068j
705.500000, -0.0236297 -0.07012068j
704.500000, -0.0236297 -0.07012068j
703.500000, -0.0236297 -0.07012068j
702.500000, -0.0236297 -0.07012068j
701.500000, -0.0236297 -0.07012068j
700.500000, -0.0236297 -0.07012068j
699.500000, -0.0236297 -0.07012068j
698.500000, -0.0236297 -0.07012068j
697.500000, -0.0236297 -0.07012068j
696.500000, -0.0236297 -0.07012068j
695.500000, -0.0236297 -0.07012068j
694.500000, -0.0236297 -0.07012068j
693.500000, -0.0236297 -0.07012068j
692.500000, -0.0236297 -0.07012068j
691.500000, -0.0236297 -0.07012068j
690.500000, -0.0236297 -0.07012068j
689.500000, -0.2490790 -0.68530330j
688.500000, -0.2490790 -0.68530330j
687.500000, -0.2490790 -0.68530330j
686.500000, -0.2490790 -0.68530330j
685.500000, -0.2490790 -0.68530330j
684.500000, -0.2490790 -0.68530330j
683.500000, -0.2490790 -0.68530330j
682.500000, -0.2490790 -0.68530330j
681.500000, -0.2490790 -0.68530330j
680.500000, -0.2490790 -0.68530330j
679.500000, -0.2490790 -0.68530330j
678.500000, -0.2490790 -0.68530330j
677.500000, -0.2490790 -0.68530330j
676.500000, -0.2490790 -0.68530330j
675.500000, -0.2490790 -0.68530330j
674.500000, -0.2490790 -0.68530330j
673.500000, -0.2490790 -0.68530330j
672.500000, -0.2490790 -0.68530330j
671.500000, -0.2490790 -0.68530330j
670.500000, -0.2490790 -0.68530330j
669.500000, -0.2490790 -0.68530330j
668.500000, -0.2490790 -0.68530330j
667.500000, -0.2490790 -0.68530330j
666.500000, -0.2490790 -0.68530330j
665.500000, -0.2490790 -0.68530330j
664.500000, -0.2490790 -0.68530330j
663.500000, -0.2490790 -0.68530330j
662.500000, -0.2490790 -0.68530330j
661.500000, -0.2490790 -0.68530330j
660.500000, -0.2490790 -0.68530330j
659.500000, -0.2490790 -0.68530330j
658.500000, -0.2490790 -0.68530330j
657.500000, -0.2490790 -0.68530330j
656.500000, -0.2490790 -0.68530330j
655.500000, -0.2490790 -0.68530330j
654.500000, -0.2490790 -0.68530330j
653.500000, -0.2490790 -0.68530330j
652.500000, -0.2490790 -0.68530330j
651.500000, -0.2490790 -0.68530330j
650.500000, -0.2490790 -0.68530330j
649.500000, -0.2490790 -0.68530330j
648.500000, -0.2490790 -0.68530330j
647.500000, -0.2490790 -0.68530330j
646.500000, -0.2490790 -0.68530330j
645.500000, -0.2490790 -0.68530330j
644.500000, -0.2490790 -0.68530330j
643.500000, -0.2490790 -0.68530330j
642.500000, -0.2490790 -0.68530330j
641.500000, -0.2490790 -0.68530330j
640.500000, -0.2490790 -0.68530330j
639.500000, -0.2490790 -0.68530330j
638.500000, -0.2490790 -0.68530330j
637.500000, -0.2490790 -0.68530330j
636.500000, -0.2490790 -0.68530330j
635.500000, -0.2490790 -0.68530330j
634.500000, -0.2490790 -0.68530330j
633.500000, -0.2490790 -0.68530330j
632.500000, -0.2490790 -0.68530330j
631.500000, -0.2490790 -0.68530330j
630.500000, -0.2490790 -0.68530330j
629.500000, -0.2490790 -0.68530330j
628.500000, -0.2490790 -0.68530330j
627.500000, -0.2490790 -0.68530330j
626.500000, -0.2490790 -0.68530330j
625.500000, -0.2490790 -0.68530330j
624.500000, -0.2490790 -0.68530330j
623.500000, -0.2490790 -0.68530330j
622.500000, -0.2490790 -0.68530330j
621.500000, -0.2490790 -0.68530330j
620.500000, -0.2490790 -0.68530330j
619.500000, -0.2490790 -0.68530330j
618.500000, -0.2490790 -0.68530330j
617.500000, -0.2490790 -0.68530330j
616.500000, -0.2490790 -0.68530330j
615.500000, -0.2490790 -0.68530330j
614.500000, -0.2490790 -0.68530330j
613.500000, -0.2490790 -0.68530330j
612.500000, -0.2490790 -0.68530330j
611.500000, -0.2490790 -0.68530330j
610.500000, -0.2490790 -0.68530330j
609.500000, -0.2490790 -0.68530330j
608.500000, -0.2490790 -0.68530330j
607.500000, -0.2490790 -0.68530330j
606.500000, -0.2490790 -0.68530330j
605.500000, -0.2490790 -0.68530330j
604.500000, -0.2490790 -0.68530330j
603.500000, -0.2490790 -0.68530330j
602.500000, -0.2490790 -0.68530330j
601.500000, -0.2490790 -0.68530330j
600.500000, -0.2490790 -0.68530330j
599.500000, -0.2490790 -0.68530330j
598.500000, -0.2490790 -0.68530330j
597.500000, -0.2490790 -0.68530330j
596.500000, -0.2490790 -0.68530330j
595.500000, -0.2490790 -0.68530330j
594.500000, -0.2490790 -0.68530330j
593.500000, -0.2490790 -0.68530330j
592.500000, -0.2490790 -0.68530330j
591.500000, -0.2490790 -0.68530330j
590.500000, -0.2490790 -0.68530330j
589.500000, -0.2490790 -0.68530330j
588.500000, -0.2490790 -0.68530330j
587.500000, -0.2490790 -0.68530330j
586.500000, -0.2490790 -0.68530330j
585.500000, -0.2490790 -0.68530330j
584.500000, -0.2490790 -0.68530330j
583.500000, -0.2490790 -0.68530330j
582.500000, -0.2490790 -0.68530330j
581.500000, -0.2490790 -0.68530330j
580.500000, -0.2490790 -0.68530330j
579.500000, -0.2490790 -0.68530330j
578.500000, -0.2490790 -0.68530330j
577.500000, -0.2490790 -0.68530330j
576.500000, -0.2490790 -0.68530330j
575.500000, -0.2490790 -0.68530330j
574.500000, -0.2490790 -0.68530330j
573.500000, -0.2384391 -0.95059844j
572.500000, -0.2384391 -0.95059844j
571.500000, -0.2384391 -0.95059844j
570.500000, -0.2384391 -0.95059844j
569.500000, -0.2384391 -0.95059844j
568.500000, -0.2384391 -0.95059844j
567.500000, -0.2384391 -0.95059844j
566.500000, -0.2384391 -0.95059844j
565.500000, -0.2384391 -0.95059844j
564.500000, -0.2384391 -0.95059844j
